,j0,j1,h0,h1,lr,noise,stim_noise,count_thresh,width_scaling,n_stim,EMD_IDR_STIM,EMD_IDR_UNIFORM,EMD_NDR_STIM,EMD_NDR_UNIFORM,IDR_CORRECT_BIAS_MSE,IDR_INCORRECT_BIAS_MSE,NDR_CORRECT_BIAS_MSE,NDR_INCORRECT_BIAS_MSE
0,0.1,2.0,0.1,0.1,0.005,0.0,0.0,0.97,1,300,0.08778069934685276,0.0301104890738007,0.049321673278165556,0.06911076528943133,0.0006288715154482749,0.0004452550337314506,6.237710405053097e-05,0.0011962775434032564
1,0.1,2.0,0.1,0.1,0.005,0.0,0.0,0.9,1,300,0.08730016360492604,0.03103277821864895,0.05013108382944827,0.06860943702160568,0.0010925728911663885,0.0008375256794356111,4.864293915965085e-05,0.0023165575177967156
2,0.1,2.0,0.1,0.2,0.005,0.0,0.0,0.97,1,300,0.04930588937276967,0.06995260268880016,0.04041700979017602,0.07660956563211196,0.0065644956421253365,0.0020101110013511637,0.0007992909755219926,0.006882006232699132
3,0.1,2.0,0.1,0.2,0.005,0.0,0.0,0.9,1,300,0.047167595402186166,0.07155088224101808,0.04510423232418971,0.07267606947135116,0.00752503304890116,0.0020743196867021012,0.0008603838863763083,0.00797082971128781
4,0.1,2.0,0.1,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.043056485236553386,0.09621090971038539,0.04856790446625678,0.07016939611048251,0.012118722448224468,0.002167869023615773,0.002582459356732463,0.007884521161295246
5,0.1,2.0,0.1,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.04108790066116652,0.09811847301780457,0.052771624871320325,0.06696250186697258,0.0151980092983214,0.0026490373592678003,0.0028987618956520514,0.009750260520408076
6,0.1,2.0,0.1,0.4,0.005,0.0,0.0,0.97,1,300,0.039502475726629974,0.10001188982295889,0.05267762595056069,0.0672569800255069,0.015527122081534747,0.0015317555115643847,0.003541461928909529,0.007808568320080459
7,0.1,2.0,0.1,0.4,0.005,0.0,0.0,0.9,1,300,0.03809013655019802,0.10215205698159796,0.05625028911558708,0.06470444062163222,0.018683280687866375,0.0023480363867530735,0.004057418074693747,0.009836691132728106
8,0.1,2.0,0.1,0.5,0.005,0.0,0.0,0.97,1,300,0.03789745450689509,0.10205299004787155,0.05487610652254223,0.06578551832209992,0.0162465123833488,0.00117541882423773,0.0037421035521716787,0.007296857958526155
9,0.1,2.0,0.1,0.5,0.005,0.0,0.0,0.9,1,300,0.036595847350233725,0.10411741805369323,0.058228174614913,0.06350703945599298,0.019203956251645102,0.0019127802846605928,0.004081950031986585,0.009191893771783047
